MASS AVE                      ,PROSPECT                      ,1
BROADWAY                      ,GLLORY                        ,1
BROADWAY                      ,HAMPSHIRE                     ,1
BROADWAY                      ,MOORE ST                      ,1
MAIN ST                       , ,1
BROADWAY                      ,PROSPECT                      ,1
MAIN ST,WINDSOR ST,1
MAIN ST,PORTLAND ST,1
MASS AVE                      ,VASSAR ST                     ,1
BRATTLE ST                    , ,1
MASSACHUSETTS AVE             ,LANSDOWNE                     ,1
ALLEN ST                      ,MASSACHUSETTS AVE             ,1
ANTRIM ST                     ,BROADWAY                      ,1
ANDERSON BRIDGE               ,MEMORIAL DR                   ,1
PROSPECT ST                   ,ST MARY RD                    ,1
SIDNEY                        ,MASS AVE                      ,1
SIDNEY ST,WAVERLY ST,1
AMES ST,BROADWAY,1
SOMERVILLE AVE                ,WHITE ST                      ,1
ARROW ST                      ,MASSACHUSETTS AVE             ,1
ALBANY ST                     ,PORTLAND ST                   ,1
ALBANY ST                     ,PACIFIC ST                    ,1
SPRING ST                     ,THIRD ST                      ,1
ALBANY ST                     ,MAIN ST                       ,1
ALBANY ST,MASSACHUSETTS AVE,1
SURREY ST                     , ,1
ARLINGTON ST                  ,MASSACHUSETTS AVE             ,1
PACIFIC ST                    ,SIDNEY ST                     ,1
BRATTLE ST                    ,ELIOT ST                      ,1
MASSACHUSETTS AVE             ,RUSSELL ST                    ,1
MASSACHUSETTS AVE             ,MT AUBURN ST                  ,1
LOWELL ST,MT AUBURN ST,1
BRATTLE ST,STORY ST,1
MASSACHUSETTS AVE             ,PEARLST                       ,1
MASSACHUSETTS AVE             ,PUTNAM AVE                    ,1
MASSACHUSETTS AVE             ,RIVER ST                      ,1
MASSACHUSETTS AVE             ,SELLERS ST                    ,1
OTIS ST                       ,SECOND ST                     ,1
MASSACHUSETTS AVE             ,SIDNEYST                      ,1
MASSACHUSETTS AVE             ,STATE ST                      ,1
MASSACHUSETTS AVE             ,WINDSOR ST                    ,1
BINNEY ST,GALILEI WAY,1
MIDDLESEX ST                  ,RINDGE AVE                    ,1
BENNETT ST                    ,ELIOT ST                      ,1
MAGAZINE ST,PUTNAM AVE,1
BROADWAY ST                   ,GALILEO GALILEI               ,1
LINNAEAN ST                   ,WASHINGTON AVE                ,1
GRANITE ST                    ,PEARL ST                      ,1
CHURCH ST,MASSACHUSETTS AVE,1
GARDEN                        ,CONCORD                       ,1
GARDEN ST                     ,HURON AVE                     ,1
GARDEN ST                     ,LINNAEAN ST                   ,1
GARDEN ST                     ,WATERHOUSE ST                 ,1
CHARLES ST                    ,FIFTH ST                      ,1
CARDINAL MEDEIROS AVE,HAMPSHIRE ST,1
CHURCHILL AVE                 ,MASSACHUSETTS AVE             ,1
CAMERON AVE                   ,MASSACHUSETTS AVE             ,1
GRANITE ST                    ,RIVERSIDE RD                  ,1
CAMBRIDGESIDE PL              ,FIRST ST                      ,1
GREEN ST                      ,MAGAZINE ST                   ,1
GREEN ST                      ,PEARL ST                      ,1
CAMBRIDGE ST                  ,WEBSTER AVE                   ,1
CHURCH ST                     ,MASSACHUSETTS AVE             ,1
CLINTON ST                    ,MASSACHUSETTS AVE             ,1
LINNAEAN ST                   ,RAYMOND ST                    ,1
DANA ST                       ,MASSACHUSETTS AVE             ,1
ELLERY ST,MASSACHUSETTS AVE,1
ELLERY ST                     ,MASSACHUSETTS AVE             ,1
ELM ST                        ,HAMPSHIRE ST                  ,1
ERIE ST                       ,SIDNEY ST                     ,1
DEWOLFE ST,MT AUBURN ST,1
EXETER PK,MASSACHUSETTS AVE,1
DANA ST,MASSACHUSETTS AVE,1
COLUMBIA ST,HAMPSHIRE ST,1
COTTAGE ST                    ,RIVER ST                      ,1
CONCORD AVE                   ,WALDEN ST                     ,1
CONCORD AVE                   ,GARDEN ST                     ,1
COLUMBIA ST                   ,WASHINGTON ST                 ,1
FIRST                         ,CAMBRIDGESIDE                 ,1
FOREST ST                     ,OXFORD ST                     ,1
