Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R7118136,4/28/16 8:25,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7118137,4/28/16 8:40,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7724591,4/28/16 9:00,,LANDSDOWNE ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715787,4/28/16 18:50,,GORE ST,SIXTH ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715787,4/28/16 18:50,,GORE ST,SIXTH ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715135,4/29/16 9:35,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715136,4/29/16 10:00,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R7715137,4/29/16 10:05,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7724658,5/2/16 17:16,,CHURCH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7715140,5/4/16 4:05,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715139,5/4/16 8:59,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715881,5/4/16 9:30,,MASSACHUSETTS AVE,ROSELAND ST,85/11B,BICYCLE VIOLATION c85 S11B
R6428004,5/6/16 8:55,,CAMBRIDGE ST,WARREN ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715884,5/6/16 10:05,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6811481,5/9/16 14:15,,BROADWAY,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R6811380,5/9/16 14:17,,BROADWAY,WINDSOR ST,85/11B,BICYCLE VIOLATION c85 S11B
R7715800,5/9/16 17:20,,DANA ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
